name,year,transparency,count
BK,2006,21,51
BK,2007,41,27
BK,2008,36,22
BK,2009,16,16
BK,2010,20,32
BK,2011,26,39
BMAS,2006,62,135
BMAS,2007,60,81
BMAS,2008,68,71
BMAS,2009,39,84
BMAS,2010,47,208
BMAS,2011,47,367
AA,2006,56,131
AA,2007,54,88
AA,2008,52,132
AA,2009,55,139
AA,2010,52,164
AA,2011,63,169
BMI,2006,50,102
BMI,2007,51,80
BMI,2008,46,70
BMI,2009,39,89
BMI,2010,45,116
BMI,2011,31,177
BMJ,2006,51,77
BMJ,2007,56,57
BMJ,2008,50,56
BMJ,2009,58,46
BMJ,2010,53,90
BMJ,2011,48,103
BMF,2006,39,171
BMF,2007,44,135
BMF,2008,14,493
BMF,2009,29,295
BMF,2010,20,449
BMF,2011,36,1408
BMWi,2006,84,628
BMWi,2007,80,220
BMWi,2008,82,178
BMWi,2009,60,97
BMWi,2010,61,138
BMWi,2011,85,497
BMELV,2006,75,164
BMELV,2007,64,53
BMELV,2008,62,39
BMELV,2009,63,71
BMELV,2010,62,29
BMELV,2011,68,57
BMVg,2006,42,44
BMVg,2007,24,49
BMVg,2008,54,13
BMVg,2009,34,28
BMVg,2010,59,58
BMVg,2011,77,69
BMFSFJ,2006,43,44
BMFSFJ,2007,50,12
BMFSFJ,2008,82,14
BMFSFJ,2009,64,43
BMFSFJ,2010,73,39
BMFSFJ,2011,45,21
BMG,2006,32,544
BMG,2007,61,256
BMG,2008,54,266
BMG,2009,64,251
BMG,2010,64,265
BMG,2011,64,286
BMVBS,2006,51,150
BMVBS,2007,62,167
BMVBS,2008,70,155
BMVBS,2009,64,171
BMVBS,2010,61,245
BMVBS,2011,62,216
BMU,2006,40,5
BMU,2007,0,2
BMU,2008,0,1
BMU,2009,70,5
BMU,2010,50,2
BMU,2011,53,16
BMBF,2006,75,6
BMBF,2007,30,10
BMBF,2008,41,11
BMBF,2009,60,10
BMBF,2010,86,11
BMBF,2011,32,30
BKM,2006,50,7
BKM,2007,45,10
BKM,2008,50,4
BKM,2009,40,10
BKM,2010,38,25
BKM,2011,36,33
BMZ,2006,65,13
BMZ,2007,50,12
BMZ,2008,56,16
BMZ,2009,100,3
BMZ,2010,100,11
BMZ,2011,89,19
BPA,2006,75,6
BPA,2007,83,6
BPA,2008,100,2
BPA,2009,0,0
BPA,2010,50,4
BPA,2011,67,6
BPraesA,2006,0,0
BPraesA,2007,0,0
BPraesA,2008,0,0
BPraesA,2009,0,0
BPraesA,2010,38,4
BPraesA,2011,21,12
BT,2006,0,0
BT,2007,0,0
BT,2008,0,0
BT,2009,0,0
BT,2010,0,0
BT,2011,38,82
BBank,2006,0,0
BBank,2007,0,0
BBank,2008,0,0
BBank,2009,0,0
BBank,2010,0,0
BBank,2011,19,13
BfDI,2006,0,0
BfDI,2007,0,0
BfDI,2008,0,0
BfDI,2009,0,0
BfDI,2010,0,0
BfDI,2011,96,26
BRH,2006,0,0
BRH,2007,0,0
BRH,2008,0,0
BRH,2009,0,0
BRH,2010,0,0
BRH,2011,0,0
BK,2012,95,806
BMAS,2012,48,376
AA,2012,47,153
BMI,2012,43,264
BMJ,2012,51,111
BMF,2012,48,3025
BMWi,2012,73,571
BMELV,2012,88,50
BMVg,2012,74,72
BMFSFJ,2012,47,34
BMG,2012,75,347
BMVBS,2012,69,232
BMU,2012,68,14
BMBF,2012,62,39
BKM,2012,40,25
BMZ,2012,90,21
BPA,2012,80,10
BPraesA,2012,50,14
BT,2012,11,95
BBank,2012,62,13
BfDI,2012,83,20
BRH,2012,44,26
